Date,Type,Topic,Abstract,Presenter,Twitter,Website,Tags,Bio
"May 24th, 2012",,TBD,,TBD,,,,
"June 28th, 2012",,TBD,,TBD,,,,
"July 26th, 2012",,Gadgeteering,,TBD,,,,
"August 23rd, 2012",,TBD,,TBD,,,,
"September 27th, 2012",,TBD,,TBD,,,,
"October 25th, 2012",,TBD,,TBD,,,,
"November 22nd, 2012",,TBD,,TBD,,,,
"December 27th, 2012",,TBD,,TBD,,,,
"January 24th, 2013",,TBD,,TBD,,,,
"February 28th, 2013",,TBD,,TBD,,,,
"March 28th, 2013",,TBD,,TBD,,,,
"April 25th, 2013",,TBD,,TBD,,,,
"May 23rd, 2013",,TBD,,TBD,,,,
"June 27th, 2013",,TBD,,TBD,,,,
"July 25th, 2013",,Lightning Talks,,TBD,,,,
"August 22nd, 2013",,TBD,,TBD,,,,
"September 26th, 2013",,TBD,,TBD,,,,
"October 24th, 2013",,TBD,,TBD,,,,
"November 28th, 2013",,TBD,,TBD,,,,
"December 26th, 2013",,TBD,,TBD,,,,
"January 23rd, 2014",,TBD,,TBD,,,,
"February 27th, 2014",,TBD,,TBD,,,,
"March 27th, 2014",,TBD,,TBD,,,,
"April 24th, 2014",,TBD,,TBD,,,,
"May 22nd, 2014",,TBD,,TBD,,,,
"June 26th, 2014",,TBD,,TBD,,,,
"July 24th, 2014",,Lightning Talks,,TBD,,,,
"August 28th, 2014",,TBD,,TBD,,,,
"September 25th, 2014",,TBD,,TBD,,,,
"October 23rd, 2014",,TBD,,TBD,,,,
"November 27th, 2014",,TBD,,TBD,,,,
"December 25th, 2014",,TBD,,TBD,,,,
"January 22nd, 2015",,TBD,,TBD,,,,
"February 26th, 2015",,TBD,,TBD,,,,
"March 26th, 2015",,TBD,,TBD,,,,
"April 23rd, 2015",,TBD,,TBD,,,,
"May 28th, 2015",,TBD,,TBD,,,,
"June 25th, 2015",,React Quickly,,"Ryan Lanciaux, Scott Sanzenbacher",,,,
"July 23rd, 2015",,Lightning Talks,, Lightning Talks,,,,
"August 27th, 2015",,Developer's Guide to Pentesting,,Bill Sempf,sempf,https://www.sempf.net,,
"September 24th, 2015",,Sprache: When Regex Just Won?t Cut It,,Brian Friesen,brianfriesen,http://www.randomskunk.com,,
"October 22nd, 2015",,Human Interactive Apps with Kinect for Windows,,Brian Sherwin,,,,
"December 24th, 2015",,Annual End of Year Holiday Party,,Holiday Party,,,,
"January 28th, 2016",,Chef in the Real World,,Jerrel Blankenship,TheJerrel,http://www.jerrelblankenship.com,,
"February 25th, 2016",,Programs that Write Programs: How Compilers Work,,Craig Stuntz,craigstuntz,http://www.craigstuntz.com,,
"March 24th, 2016",,Improve Your Architecture with 3 Easy Queueing Patterns,,Matthew D. Groves,mgroves,http://crosscuttingconcerns.com,,
"April 28th, 2016",,An End-to-End Overview of IoT,,Vince Fabro,vfabro,,,
"May 26th, 2016",,Work on Your ARM Strength,,Michael Collier,MichaelCollier,http://www.michaelscollier.com ,,
"June 23rd, 2016",,More Personal Computing with Smart APIs,,Brian Sherwin,,,,
"July 28th, 2016",,Lightning Talks,,Lightning Talks,,,,
"August 25th, 2016",,TBD,,TBD,,,,
"September 22nd, 2016",,TBD,,TBD,,,,
"October 27th, 2016",,TBD,,TBD,,,,
"November 24th, 2016",,TBD,,TBD,,,,
"December 22nd, 2016",,TBD,,TBD,,,,
"January 26th, 2017",,TBD,,TBD,,,,
"February 23rd, 2017",,TBD,,TBD,,,,
"March 23rd, 2017",,TBD,,TBD,,,,
"April 27th, 2017",,TBD,,TBD,,,,
"May 25th, 2017",,TBD,,TBD,,,,
"June 22nd, 2017",,TBD,,TBD,,,,
"July 27th, 2017",,Lightning Talks,,TBD,,,,
"August 24th, 2017",,TBD,,TBD,,,,
"September 28th, 2017",,TBD,,TBD,,,,
"October 26th, 2017",,TBD,,TBD,,,,
"November 23rd, 2017",,TBD,,TBD,,,,
"December 28th, 2017",,TBD,,TBD,,,,
